label	x	y	z
A	2.364336291362326	-0.4488381460537687	0.6454881665192085
A	0.9659818332878828	-0.1158520054692881	0.396333030766464
B	0.6995064705924114	1.290895251027132	0.185384019376423
A	0.0424681191520534	1.4998554610066457	-1.1420644099608024
A	0.011830637701539	0.1415877179059355	-1.8120906254403912
B	0.225822553703802	-0.8405517187692366	-0.6339943358848682
A	0.7393768400286543	-2.2177682624583763	-1.0084161842167023
B	-1.4899168025857878	-1.0791516443976985	0.1355454892332844
A	-1.3796931966990311	-1.902953909506316	1.341685374377454
A	-2.445993481509025	-1.4398371813139113	-0.924699961414389
B	-1.8149784097102608	0.7513947979694862	0.6194486611697254
A	-2.78899848012258	1.0158076198931865	1.2520156114750844
A	-0.7793565492338431	1.693219551744088	0.1466800339583772
B	2.451610321498171	-1.5007761920214786	0.9124781829805816
B	2.710517100059288	0.1285120978667819	1.5042709277372244
B	3.0358578419514	-0.2417369959743069	-0.2022895057665115
B	1.3930511745224012	1.983131779049432	0.644570420300723
B	0.1995755109605353	2.3903186948090327	-1.738393524191237
B	0.8531631907495796	0.0667435620021487	-2.510216905404307
B	-0.9018291888967228	-0.0779080214397028	-2.364367829210351
B	0.0537966441794897	-2.679683530965613	-1.7208411108578392
B	0.8071186991626855	-2.868338395525884	-0.1358350051967644
B	1.7227493457088725	-2.1491580567187616	-1.479254435503016
B	-1.006504099828904	2.7207843495398523	0.4110083546374142
C	0.7517466823201298	3.205503725799775	0.7611837663435581
C	-0.2248110587976348	-2.4786381538729065	-1.689267844702964
C	-3.307077640639192	-1.0525613723587923	0.9705421635248324
C	-3.1005160271911523	2.057972013267316	1.4196042801002697
C	3.915432926748425	-1.5925488977705131	2.2721844567168836
C	4.544786719239954	-0.05307690067454335	2.2804670368227895
C	5.027368176625117	-0.40089178852838225	-0.10978902525505957
C	2.7792147651624317	3.284458124299204	1.265134875569319
C	0.9585500599391094	4.027695532709689	-2.600341738824355
C	2.030576759887933	0.09418573452155508	-4.126677302189919
C	-1.0551316007370846	-0.19786084954083621	-4.354872712287624
C	0.7618455176197343	-4.458766404913564	-2.2983624701555714
C	1.8011401559149376	-4.552176587301871	0.2844152624208826
C	2.407077913439367	-3.4089647521981723	-2.873736956516878
C	-1.8676829668474784	4.4534351875929845	0.9172612878579354
